,question_id,correctly_answered,incorrectly_answered,not_answered,avg_marks_correct,avg_marks_incorrect,avg_marks_na,f1,f2
1437,1438,129,105,13,29.4341,20.8476,21.9455,0.0068647460968798224,0.24431357517958652
1438,1439,35,259,10,24.3143,23.8185,22.6,0.001627296161747503,0.0544796682883294
1439,1440,97,176,13,38.2062,26.3352,19.2941,0.006272509713147328,0.26409069090056125
1440,1441,80,197,21,37.9875,21.8934,23.1013,0.005148983992012765,0.21835598907343737
1441,1442,143,128,19,32.8182,26.1406,23.9155,0.008280660186417028,0.31427985808501246
1442,1443,131,146,28,35.7023,16.226,18.1882,0.008006057991272329,0.3240200837142171
1443,1444,27,282,6,32.963,21.9043,18.0385,0.0015565956748245112,0.06305777647160901
1444,1445,110,132,30,36.1273,17.2955,24.7041,0.006785709728447951,0.28040582703409395
1445,1446,94,184,11,31.9149,19.7391,20.5,0.005292850872728876,0.20605328503522044
1446,1447,58,131,57,44.8621,20.8779,25.4551,0.0040426675730054215,0.20508209093490823
1447,1448,65,237,4,36.5538,23.4557,20.5472,0.004036716439995865,0.16600928335575055
1448,1449,105,116,57,35.9429,18.0431,23.5175,0.006434197014676984,0.27057030800723897
1449,1450,45,203,22,33.2,18.5567,15.7089,0.002606694053415305,0.10102058147123562
1450,1451,49,209,34,34.1633,28.8612,25.8182,0.002864891883260374,0.12457591597155837
1451,1452,122,129,31,32.7787,17.907,20.9063,0.007099262797253624,0.26114595003470786
1452,1453,86,112,41,32.8256,21.4643,23.9268,0.0049605354493102265,0.19100563848856536
1453,1454,194,50,33,30.0979,16.86,28.1979,0.010532068145107792,0.38340418231707224
1454,1455,108,179,18,31.3704,18.5754,19.9077,0.006088603963750661,0.22744277688989017
1455,1456,57,163,36,34.8596,18.7975,23.75,0.0034579278856850595,0.1352109276876256
1456,1457,161,168,12,37.3789,18.6369,23.7119,0.010195433089463527,0.4272313540764134
1457,1458,152,110,11,31.7105,22.4364,21.5882,0.008644804381107424,0.309455587920057
1458,1459,217,66,5,30.4654,16.5152,21.5814,0.011853789076608924,0.43497911674957646
1459,1460,199,95,11,30.9849,17.3579,18.3148,0.011105332212961862,0.4054735745241844
1460,1461,52,199,27,34.1346,25.1709,24.3556,0.0030644448408871953,0.1257577000929042
1461,1462,133,107,52,28.8947,18.0748,24.0,0.007065570407727372,0.2418658698647629
1462,1463,16,145,75,26.4375,28.3379,25.0269,0.0008033909329145034,0.02637841500381793
1463,1464,142,98,26,33.4437,18.0204,23.5233,0.008333907243026796,0.32628832125629853
1464,1465,192,113,14,33.8594,21.1593,20.098,0.011400152124877605,0.4402085388592257
